x,y,z,yaw,velocity,change_flag
94995.7892,208915.198,-3921.8817,-3.0247,2,0
94994.8142,208914.9289,-3921.7834,-3.0234,4,0
94993.7887,208914.8819,-3921.7779,-3.0248,4,0
94992.7595,208914.7885,-3921.807,-3.0262,6,0
94991.7462,208914.7088,-3921.8046,-3.0361,6,0
94990.7455,208914.6139,-3921.7996,-3.0436,8,0
94989.7172,208914.534,-3921.8037,-3.0508,8,0
94988.6927,208914.4684,-3921.7934,-3.0636,8,0
94987.6945,208914.4004,-3921.7696,-3.0683,8,0
94986.6859,208914.3732,-3921.7464,-3.0986,8,0
94985.6809,208914.3599,-3921.7272,-3.1221,8,0
94984.656,208914.4159,-3921.7163,3.1276,8,0
94983.6332,208914.4926,-3921.6825,3.0831,8,0
94982.6067,208914.5933,-3921.6456,3.0742,8,0
94981.5891,208914.72,-3921.6145,3.0384,10,0
94980.5418,208914.8658,-3921.5932,3.0361,10,0
94979.5281,208915.0371,-3921.5762,3.0106,10,0
94978.5306,208915.1992,-3921.5572,3.0084,10,0
94977.5427,208915.3763,-3921.5246,3.0016,10,0
94976.5113,208915.5666,-3921.5052,3.0005,10,0
94975.5022,208915.7614,-3921.4989,3,10,0
94974.4881,208915.9526,-3921.4944,2.9984,10,0
94973.4974,208916.1223,-3921.4777,2.9961,10,0
94972.5117,208916.2956,-3921.4638,2.9905,10,0
94971.5229,208916.4892,-3921.4338,2.9876,10,0
94970.5217,208916.6802,-3921.4073,2.9812,10,0
94969.5012,208916.8819,-3921.387,2.9642,10,0
94968.4901,208917.0962,-3921.3907,2.9505,10,0
94967.5173,208917.3334,-3921.3957,2.9358,10,0
94966.5227,208917.5776,-3921.3841,2.9223,10,0
94965.5256,208917.8594,-3921.3534,2.8959,10,0
94964.5418,208918.1406,-3921.3437,2.8732,10,0
94963.5942,208918.4624,-3921.3509,2.8424,10,0
94962.6047,208918.7911,-3921.3463,2.8199,10,0
94961.7029,208919.2242,-3921.315,2.7414,10,0
94960.7778,208919.6693,-3921.2914,2.6953,10,0
94959.9138,208920.2082,-3921.2938,2.6141,10,0
94959.0469,208920.7334,-3921.2953,2.6126,10,0
94958.2417,208921.37,-3921.2944,2.5186,10,0
94957.4123,208922.0023,-3921.2911,2.5074,10,0
94956.615,208922.632,-3921.2715,2.4896,10,0
94955.8025,208923.2547,-3921.2549,2.4867,10,0
94955.003,208923.9128,-3921.2223,2.4704,10,0
94954.1999,208924.5598,-3921.19,2.4706,10,0
94953.4055,208925.2435,-3921.1403,2.448,10,0
94952.6353,208925.924,-3921.0813,2.4412,10,0
94951.8554,208926.609,-3921.0307,2.4386,10,0
94951.1116,208927.2993,-3920.9982,2.4339,10,0
94950.349,208927.9852,-3920.9686,2.4337,10,0
94949.6047,208928.6577,-3920.9366,2.4357,10,0
94948.8302,208929.3425,-3920.9058,2.4369,10,0
94948.0381,208930.0358,-3920.8758,2.447,10,0
