x,y,z,yaw,velocity,change_flag
94777.0478,208476.9719,-3874.767,-1.1876,10,0
94777.4251,208476.0366,-3874.5832,-1.1884,10,0
94777.7982,208475.103,-3874.4805,-1.1938,10,0
94778.1455,208474.1585,-3874.3729,-1.2037,10,0
94778.4868,208473.1968,-3874.2777,-1.215,10,0
94778.8253,208472.2478,-3874.1974,-1.2169,10,0
94779.174,208471.2699,-3874.1118,-1.2315,10,0
94779.5202,208470.3316,-3874.0351,-1.2329,10,0
94779.8472,208469.376,-3873.9117,-1.2476,10,0
94780.1827,208468.4112,-3873.7923,-1.2489,10,0
94780.497,208467.4474,-3873.6569,-1.2614,10,0
94780.8087,208466.4855,-3873.5222,-1.2632,10,0
94781.1349,208465.4986,-3873.3878,-1.2746,10,0
94781.4704,208464.4992,-3873.2561,-1.2786,10,0
94781.7936,208463.507,-3873.1207,-1.2871,10,0
94782.1075,208462.5439,-3872.9939,-1.2883,10,0
94782.3808,208461.5651,-3872.8748,-1.3008,10,0
94782.6427,208460.5748,-3872.7656,-1.3006,10,0
94782.8922,208459.6063,-3872.6942,-1.3082,10,0
94783.1516,208458.6083,-3872.633,-1.3111,10,0
94783.416,208457.6223,-3872.5779,-1.3102,10,0
94783.6844,208456.6534,-3872.5279,-1.3103,10,0
94783.9633,208455.6426,-3872.4483,-1.3176,10,0
94784.2404,208454.6533,-3872.369,-1.3158,10,0
94784.4967,208453.6545,-3872.2798,-1.323,10,0
94784.7543,208452.6579,-3872.1949,-1.3242,10,0
94785.0039,208451.6393,-3872.1047,-1.3227,10,0
94785.2507,208450.6319,-3872.0182,-1.3213,10,0
94785.5173,208449.6139,-3871.929,-1.3152,10,0
94785.798,208448.6208,-3871.8317,-1.3126,10,0
94786.0934,208447.6344,-3871.7472,-1.2964,10,0
94786.4105,208446.6726,-3871.6761,-1.2797,10,0
94786.7423,208445.6901,-3871.6071,-1.2771,10,0
94787.0791,208444.7017,-3871.4744,-1.2265,10,0
94787.4198,208443.7264,-3871.3508,-1.2196,10,0
94787.8033,208442.7722,-3871.2097,-1.1585,10,0
94788.2062,208441.8414,-3871.0813,-1.1451,10,0
94788.6664,208440.9104,-3870.9347,-1.076,10,0
94789.1663,208440.0339,-3870.7742,-1.0477,10,0
94789.7229,208439.1817,-3870.6284,-0.9475,10,0
94790.3464,208438.3838,-3870.4996,-0.8946,10,0
94790.9802,208437.6057,-3870.3833,-0.8732,10,0
94791.7635,208436.9412,-3870.2784,-0.7171,10,0
94792.5523,208436.2906,-3870.1844,-0.7111,10,0
94793.4266,208435.7055,-3870.0917,-0.5745,10,0
94794.283,208435.1515,-3870.0119,-0.5696,10,0
94795.1915,208434.6621,-3869.921,-0.4864,10,0
94796.0947,208434.2091,-3869.8377,-0.4741,10,0
94797.0116,208433.7626,-3869.7738,-0.4306,10,0
94797.9525,208433.3206,-3869.7218,-0.4227,10,0
94798.9153,208432.928,-3869.6434,-0.3694,10,0
94799.8944,208432.5794,-3869.5489,-0.3603,10,0
94800.882,208432.2405,-3869.4673,-0.3207,10,0
94801.832,208431.9202,-3869.3981,-0.3112,10,0
94802.7873,208431.6166,-3869.3366,-0.3064,10,0
94803.7689,208431.3311,-3869.2767,-0.3016,10,0
94804.7603,208431.0477,-3869.2248,-0.3088,10,0
94805.7537,208430.7511,-3869.1913,-0.3222,10,0
94806.7487,208430.4646,-3869.1623,-0.3251,10,0
94807.7189,208430.0891,-3869.1174,-0.3619,10,0
94808.6709,208429.7308,-3869.0787,-0.3628,10,0
94809.6157,208429.2712,-3869.0619,-0.4224,10,0
94810.5165,208428.8332,-3869.0506,-0.4296,10,0
94811.4207,208428.3762,-3869.0291,-0.4939,10,0
94812.324,208427.9212,-3869.0088,-0.5218,10,0
94813.1601,208427.3418,-3868.9843,-0.5796,10,0
94814.0005,208426.7503,-3868.9639,-0.6302,10,0
94814.7893,208426.0881,-3868.9534,-0.6803,10,0
94815.5418,208425.4219,-3868.9401,-0.7516,8,0
94816.2649,208424.7284,-3868.9219,-0.7692,8,0
94816.9548,208423.964,-3868.8821,-0.8465,6,0
94817.6137,208423.1904,-3868.8366,-0.8506,6,0
94818.2614,208422.3908,-3868.7805,-0.8935,4,0
94818.9041,208421.6172,-3868.7268,-0.8943,4,0
94819.5562,208420.8333,-3868.6698,-0.8947,2,0
94820.1896,208420.0386,-3868.6059,-0.8908,2,0
94820.8203,208419.2555,-3868.5451,-0.8903,0,0
