x,y,z,yaw,velocity,change_flag
94432.385,209095.543,-3904.5793,-1.2731,10,0
94432.6355,209094.5425,-3904.4902,-1.2786,10,0
94432.8517,209093.549,-3904.4401,-1.2925,10,0
94433.0994,209092.5774,-3904.4097,-1.304,10,0
94433.322,209091.597,-3904.4065,-1.3769,10,0
94433.504,209090.5951,-3904.3906,-1.4922,10,0
94433.6269,209089.585,-3904.3753,-1.5833,10,0
94433.6314,209088.5731,-3904.3893,-1.6614,10,0
94433.491,209087.5792,-3904.3677,-1.8785,10,0
94433.1795,209086.6031,-3904.3213,-2.082,10,0
94432.7291,209085.6991,-3904.268,-2.1658,10,0
94432.1346,209084.8877,-3904.2168,-2.2607,10,0
94431.4838,209084.1255,-3904.1278,-2.3253,10,0
94430.7947,209083.39,-3904.0168,-2.3358,10,0
94430.0951,209082.6362,-3903.8921,-2.3385,10,0
94429.4068,209081.897,-3903.7345,-2.3296,10,0
94428.7182,209081.1512,-3903.5682,-2.3021,10,0
94428.0438,209080.3776,-3903.3838,-2.2899,10,0
94427.3903,209079.5994,-3903.2216,-2.2527,10,0
94426.7295,209078.802,-3903.0758,-2.2469,10,0
94426.1598,209077.9772,-3902.9251,-2.2246,10,0
94425.5594,209077.1333,-3902.7965,-2.2117,10,0
94424.973,209076.2967,-3902.7157,-2.1992,10,0
94424.3896,209075.4295,-3902.6216,-2.1884,10,0
94423.8624,209074.5603,-3902.4943,-2.1821,10,0
94423.3526,209073.684,-3902.3775,-2.1664,10,0
94422.8672,209072.8079,-3902.2729,-2.1714,10,0
94422.3438,209071.9258,-3902.108,-2.1905,10,0
94421.7962,209071.0679,-3901.9366,-2.2056,10,0
94421.1404,209070.2832,-3901.6876,-2.236,10,0
94420.4742,209069.5299,-3901.4376,-2.2088,10,0
94419.7927,209068.7702,-3901.1645,-2.192,10,0
94419.163,209067.9649,-3900.8713,-2.064,10,0
94418.5938,209067.1197,-3900.6097,-1.9126,10,0
94418.1874,209066.1795,-3900.4216,-1.7834,10,0
94418.0023,209065.1929,-3900.2755,-1.4884,10,0
94417.9891,209064.1911,-3900.1642,-1.4422,10,0
94418.2312,209063.2118,-3900.0809,-1.3026,10,0
94418.4859,209062.2399,-3900.0027,-1.2679,10,0
94418.7518,209061.2654,-3899.9294,-1.254,10,0
94419.0536,209060.2769,-3899.8528,-1.2283,8,0
94419.3685,209059.2931,-3899.7789,-1.2263,8,0
94419.7068,209058.3306,-3899.7069,-1.2113,6,0
94420.0543,209057.3892,-3899.6448,-1.2072,6,0
94420.4197,209056.4583,-3899.5895,-1.2026,4,0
94420.8139,209055.5039,-3899.5206,-1.1794,4,0
94421.2219,209054.5654,-3899.4493,-1.1779,2,0
94421.6377,209053.6286,-3899.4002,-1.1591,2,0
94422.054,209052.7066,-3899.3347,-1.1479,2,0
94422.4824,209051.7966,-3899.2548,-1.1421,0,0
