x,y,z,yaw,velocity,change_flag
94718.5888,208641.2557,-3886.9446,-1.7052,10,0
94718.4634,208640.2488,-3886.8837,-1.7062,10,0
94718.339,208639.2415,-3886.8435,-1.707,10,0
94718.2219,208638.2307,-3886.8224,-1.717,10,0
94718.1073,208637.2369,-3886.8103,-1.7255,10,0
94717.9914,208636.2261,-3886.8078,-1.7294,10,0
94717.8741,208635.2319,-3886.808,-1.7384,10,0
94717.7548,208634.2374,-3886.8083,-1.7424,10,0
94717.6144,208633.2226,-3886.7793,-1.7459,10,0
94717.4579,208632.2022,-3886.7365,-1.7476,10,0
94717.2943,208631.2138,-3886.6539,-1.7493,10,0
94717.1276,208630.1952,-3886.541,-1.7489,10,0
94716.9902,208629.1925,-3886.423,-1.7532,10,0
94716.866,208628.1737,-3886.3088,-1.7526,10,0
94716.7341,208627.1764,-3886.2152,-1.754,10,0
94716.5958,208626.1836,-3886.1382,-1.7555,10,0
94716.4512,208625.1808,-3886.0564,-1.7528,10,0
94716.3078,208624.1625,-3885.926,-1.7481,10,0
94716.1646,208623.1725,-3885.8048,-1.7465,10,0
94716.0082,208622.1781,-3885.5648,-1.7397,10,0
94715.8485,208621.1765,-3885.347,-1.7389,10,0
94715.7048,208620.1709,-3885.1749,-1.741,10,0
94715.5546,208619.1466,-3885.0261,-1.7422,10,0
94715.4062,208618.1407,-3884.9202,-1.7418,10,0
94715.2491,208617.1376,-3884.8322,-1.7446,10,0
94715.081,208616.1443,-3884.7642,-1.7442,10,0
