x,y,z,yaw,velocity,change_flag
94756.3229,208588.731,-3883.0863,-2.3345,10,0
94755.6511,208587.9763,-3883.0494,-2.3164,10,0
94754.9651,208587.233,-3883.0405,-2.3224,10,0
94754.2855,208586.4871,-3883.019,-2.3403,10,0
94753.5902,208585.7255,-3882.9854,-2.3429,10,0
94752.855,208584.9995,-3882.9032,-2.3681,10,0
94752.1149,208584.2839,-3882.8037,-2.3859,10,0
94751.3821,208583.586,-3882.6739,-2.3921,10,0
94750.6271,208582.8921,-3882.5746,-2.4037,10,0
94749.8641,208582.2224,-3882.5027,-2.4083,10,0
94749.0961,208581.5649,-3882.3978,-2.4083,10,0
94748.2994,208580.9036,-3882.2998,-2.4069,10,0
94747.5504,208580.2246,-3882.23,-2.4049,10,0
94746.7955,208579.5476,-3882.1254,-2.3999,10,0
94746.0488,208578.8783,-3881.996,-2.3993,10,0
